N,w_ratio,cohens_d,mean_diff,ci_lo,ci_hi,n_tasks
2,0.0,-0.26317071631450367,-0.028970000000000003,-0.05315,-0.010775,100
4,0.0,-0.33784480821113105,-0.046535,-0.07536862499999998,-0.022145,100
8,0.0,-0.34254077484444645,-0.064735,-0.10498524999999999,-0.030975000000000003,100
16,0.0,-0.34786425620914035,-0.06892999999999999,-0.11099500000000001,-0.03345750000000004,100
32,0.0,-0.3565921376825887,-0.075905,-0.12113,-0.037313750000000014,100
2,0.25,-0.26317071631450367,-0.028970000000000003,-0.05315,-0.010775,100
4,0.25,-0.33784480821113105,-0.046535,-0.07536862499999998,-0.022145,100
8,0.25,-0.34254077484444645,-0.064735,-0.10498524999999999,-0.030975000000000003,100
16,0.25,-0.34786425620914035,-0.06892999999999999,-0.11099500000000001,-0.03345750000000004,100
32,0.25,-0.3565921376825887,-0.075905,-0.12113,-0.037313750000000014,100
2,0.5,-0.26317071631450367,-0.028970000000000003,-0.05315,-0.010775,100
4,0.5,-0.33784480821113105,-0.046535,-0.07536862499999998,-0.022145,100
8,0.5,-0.34254077484444645,-0.064735,-0.10498524999999999,-0.030975000000000003,100
16,0.5,-0.34786425620914035,-0.06892999999999999,-0.11099500000000001,-0.03345750000000004,100
32,0.5,-0.3565921376825887,-0.075905,-0.12113,-0.037313750000000014,100
2,1.0,-0.26317071631450367,-0.028970000000000003,-0.05315,-0.010775,100
4,1.0,-0.33784480821113105,-0.046535,-0.07536862499999998,-0.022145,100
8,1.0,-0.34254077484444645,-0.064735,-0.10498524999999999,-0.030975000000000003,100
16,1.0,-0.34786425620914035,-0.06892999999999999,-0.11099500000000001,-0.03345750000000004,100
32,1.0,-0.3565921376825887,-0.075905,-0.12113,-0.037313750000000014,100
2,2.0,-0.26317071631450367,-0.028970000000000003,-0.05315,-0.010775,100
4,2.0,-0.33784480821113105,-0.046535,-0.07536862499999998,-0.022145,100
8,2.0,-0.34254077484444645,-0.064735,-0.10498524999999999,-0.030975000000000003,100
16,2.0,-0.34786425620914035,-0.06892999999999999,-0.11099500000000001,-0.03345750000000004,100
32,2.0,-0.3565921376825887,-0.075905,-0.12113,-0.037313750000000014,100
2,4.0,-0.26317071631450367,-0.028970000000000003,-0.05315,-0.010775,100
4,4.0,-0.33784480821113105,-0.046535,-0.07536862499999998,-0.022145,100
8,4.0,-0.34254077484444645,-0.064735,-0.10498524999999999,-0.030975000000000003,100
16,4.0,-0.34786425620914035,-0.06892999999999999,-0.11099500000000001,-0.03345750000000004,100
32,4.0,-0.3565921376825887,-0.075905,-0.12113,-0.037313750000000014,100
